epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,11463.1,0.68536,0.26912,0.00447,0.99869,0.99741,0.99495,0.6028,1.38291,0.35533,0.01515,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11704.5,0.67377,0.264,0.00438,0.99839,0.99584,0.99495,0.60263,1.38237,0.35744,0.01514,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11945.9,0.67062,0.26479,0.00434,0.99831,0.99649,0.99495,0.60232,1.38265,0.3576,0.01515,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12186.1,0.66654,0.26112,0.00433,0.99831,0.99698,0.99496,0.60242,1.38291,0.35779,0.01515,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12424.3,0.66249,0.26041,0.0043,0.99788,0.99783,0.99495,0.60182,1.38271,0.35754,0.01515,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12667,0.65794,0.26096,0.00426,0.99871,0.99801,0.99496,0.60296,1.38282,0.35579,0.01516,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12914.1,0.6531,0.25515,0.00423,0.99801,0.99837,0.99495,0.60156,1.38331,0.35617,0.01517,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13164.8,0.64244,0.25437,0.00416,0.99754,0.99891,0.99495,0.60232,1.38412,0.3563,0.01518,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13411.3,0.64086,0.25619,0.00414,0.99831,0.9991,0.99495,0.60207,1.38456,0.35607,0.01518,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13655.2,0.62922,0.25212,0.00406,0.99843,0.99846,0.99495,0.60214,1.3852,0.35657,0.0152,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13897.8,0.6246,0.25017,0.004,0.99765,0.99873,0.99495,0.6017,1.38594,0.35665,0.01521,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14142.8,0.62015,0.24707,0.004,0.99867,0.99815,0.99495,0.6019,1.38602,0.35685,0.01521,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14392.3,0.61522,0.24769,0.00396,0.99847,0.99855,0.99495,0.60189,1.38634,0.3572,0.01521,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14633.3,0.60875,0.24916,0.00392,0.99856,0.99916,0.99495,0.60126,1.38707,0.35751,0.01522,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
